"Start Time","Track","Series","Hosted Session Name"
"2026.01.25 1:00 AM GMT","Sebring International Raceway - International","Hosted iRacing","Regiment Racing Series"



"League Name","League ID","League Season","League Season ID","Points System"
"Regiment Racing Series","13390","Regiment Season 1","128275","IMSA"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)","League Agg Points","AI"
"1","185","Ford Mustang GT3","4091","GT3 2025","920918","920918","Justin Noel","8","15","0","Running","-00.000","7","","2:03.573","2:00.913","9","22","13","350","100","0","373","0"
"2","169","Porsche 911 GT3 R (992)","4091","GT3 2025","1081488","1081488","Glenn Jacobs4","4","713","0","Running","-28.172","2","","2:04.854","2:03.045","9","22","2","320","100","0","348","0"
"3","169","Porsche 911 GT3 R (992)","4091","GT3 2025","310325","310325","Brad Titus","1","1","0","Running","-36.920","12","","2:05.252","2:02.219","14","22","12","300","100","0","335","0"
"4","184","Chevrolet Corvette Z06 GT3.R","4091","GT3 2025","1019491","1019491","Connor C Alas","3","4","0","Running","-49.835","1","","2:05.839","2:01.591","14","22","16","280","100","0","310","0"
"5","156","Mercedes-AMG GT3 2020","4091","GT3 2025","519369","519369","Josh Mairose","9","7","0","Running","-1:22.939","0","","2:07.343","2:01.404","16","22","12","260","100","0","282","0"
"6","184","Chevrolet Corvette Z06 GT3.R","4091","GT3 2025","1030330","1030330","Damion Castro","6","215","0","Running","-1 L","0","","2:12.163","2:03.838","13","21","17","250","100","0","275","0"
"7","206","Aston Martin Vantage GT3 EVO","4091","GT3 2025","1333313","1333313","DJ Patterson","7","9","0","Running","-1 L","0","","2:13.059","2:04.873","20","21","17","240","100","0","264","0"
"8","173","Ferrari 296 GT3","4091","GT3 2025","1210077","1210077","Sean Bramer2","5","220","0","Running","-1 L","0","","2:13.792","2:03.844","16","21","13","230","100","0","256","0"
"9","169","Porsche 911 GT3 R (992)","4091","GT3 2025","265571","265571","Wendell Lowe","2","022","0","Running","-2 L","0","","2:21.845","2:02.088","8","20","12","220","100","0","252","0"
